ID,size1,size2,size3
56689,300.05936,199.96649,200.00392
56691,300.0721,199.96286,199.99876
56697,300.0592,199.966,199.99663
56698,300.06256,199.96573,199.99327
56701,300.06873,199.97107,199.99734
56703,300.06302,199.9627,199.99678
56710,300.07666,199.98015,199.99472
56717,300.072,199.96254,200.00241
56719,300.06555,199.96706,199.99908
56731,300.06778,199.96136,200.00157
56735,300.0672,199.9556,200.00331
56737,300.05673,199.9426,199.99709
56738,300.07614,199.96315,200.00687
56742,300.0542,199.95772,199.99811
56752,300.0668,199.96326,199.99542
56758,300.07303,199.95294,199.99948
56761,300.0594,199.96338,199.99861
56767,300.0628,199.96432,200.00359
56769,300.07343,199.95917,199.99835
56775,300.07205,199.95963,199.9993
56777,300.05508,199.95749,199.99773
56779,300.07172,199.9632,199.99138
56783,300.04913,199.95863,199.99979
56785,300.0511,199.96558,200.00008
56787,300.06238,199.96347,199.99707
56793,300.05853,199.96109,199.9965
56797,300.05682,199.97157,199.99442
56803,300.0644,199.96744,199.99985
56807,300.05927,199.96411,200.00748
56811,300.06964,199.9752,199.99963
56813,300.06238,199.96678,199.99767
56821,300.06992,199.96803,200.01495
56825,300.06342,199.96764,199.99704
56827,300.04916,199.99086,199.9872
56831,300.0559,199.96745,199.99953
56833,300.07068,199.98459,199.99847
56835,300.06735,199.97269,199.99771
56849,300.05103,199.9638,200.0006
56855,300.0571,199.97458,199.99408
56859,300.07007,199.96954,199.99765
56861,300.06238,199.97057,200.00174
56869,300.06335,199.9754,200.0027
56873,300.05496,199.9718,200.00078
56875,300.05344,199.97366,199.99648
56877,300.0632,199.96645,200.01086
56879,300.06323,199.97734,200.0109
56881,300.0792,199.95854,199.99936
56885,300.0642,199.98242,199.9975
56889,300.05167,199.98653,199.99904
56891,300.0641,199.96397,200.0015
56893,300.06277,199.98248,200.00374
56897,300.0691,199.98141,199.99583
56907,300.06,199.9691,199.99503
56911,300.05087,199.97209,199.9941
56915,300.0642,199.97726,199.99869
56919,300.0626,199.9613,199.99738
56921,300.05716,199.96901,199.99696
56923,300.05432,199.96933,199.99701
56925,300.05844,199.97083,200.00162
56928,300.0387,199.97273,199.99956
56931,300.0778,199.96907,200.00511
56933,300.0534,199.98445,199.9984
56941,300.07648,199.97385,200.02171
56943,300.06537,199.97131,199.99533
56947,300.07053,199.9774,199.99886
56949,300.07697,199.96426,200.00534
56953,300.04742,199.94937,199.99867
56957,300.07434,199.97047,200.00444
56959,300.07486,199.95831,200.00389
56961,300.07608,199.96738,200.0097
56963,300.07047,199.97884,199.9985
56965,300.06998,199.96162,199.9998
56969,300.0652,199.96504,199.99606
56979,300.0691,199.97057,199.99815
56981,300.06677,199.95534,199.99255
56989,300.0666,199.96321,200.00073
56993,300.0736,199.95764,199.99579
57004,300.06342,199.95297,200.00227
57006,300.05722,199.97018,199.99837
57008,300.05853,199.96068,199.99559
57010,300.06454,199.95784,199.99957
57016,300.05914,199.9756,199.99434
57028,300.0432,199.95238,199.98962
57037,300.0576,199.9564,199.99994
57041,300.0573,199.96252,199.99727
57043,300.0533,199.98724,199.99893
57045,300.06088,199.9667,199.99838
57049,300.06207,199.973,200.00385
57050,300.0584,199.97714,199.99733
57053,300.07016,199.96454,200.00056
57055,300.0669,199.9684,200.00983
57056,300.0785,199.96696,199.99672
57059,300.05777,199.97958,200.00494
57063,300.0679,199.9619,199.99684
57065,300.08563,199.98079,200.01424
57067,300.07367,199.99603,200.00998
57070,300.0627,199.97131,199.9962
57072,300.05902,199.98177,200.00066
57073,300.0585,199.96994,200.00165
57074,300.05563,199.95047,199.99391
57076,300.0702,199.96983,199.99736
57079,300.06076,199.97441,200.00592
57082,300.06494,199.97084,199.99951
57087,300.06055,199.96307,199.99332
57088,300.06958,199.96715,200.01193
57090,300.06168,199.97928,199.997
57092,300.06616,199.96535,199.99583
57094,300.06787,199.94792,199.99582
57095,300.06378,199.95972,199.99493
57096,300.05728,199.98112,199.99673
57103,300.05826,199.9742,199.99384
57106,300.06903,199.95361,199.99992
57115,300.0701,199.9926,200.00465
57121,300.0707,199.9837,200.01404
57122,300.06708,199.97011,199.99533
57123,300.07074,199.96071,199.99797
57125,300.05664,199.96916,199.99832
57131,300.054,199.95613,199.99742
57133,300.0693,199.9522,199.9963
57137,300.0554,199.97989,200.00189
57145,300.06342,199.95862,199.99628
57155,300.0687,199.95807,199.99416
57161,300.0687,199.98524,200.0172
